3D_003,24
"Filename","C:\MitakaPF_Data\V2_inject_20220817\V2_inject_S1.CSV"
"Measurment Method","3-D Cross SectionPrecise measurement"
"No. of Points in X direction",140
"No. of Points in Y direction",104
"Max. Value in X direction",103.20600
"Min. Value in X direction",75.60480
"Max. Value in Y direction",84.10440
"Min. Value in Y direction",63.50430
"Max. Value in Z direction",3.66162
"Min. Value in Z direction",1.60991
"Average in Z direction",2.36089
"Data Name","Index"
"Measuring Pitch","X : ",0.20000 ,"Y : ",0.20000
"Stage Pitch","X component: ",0.20000 ,"Y component: ",0.00000
"Measuring Range","X : ",13.80060 ,"Y : ",20.60010
"AF Gain",2
"AF Sensor","Select"
"Z Magnification",1.0
"Object Lens Magnification","LM100X"
"Laser Offset Value",""
"One/Both Side(s) Code","Both"

"X","Y","Z"
81.80420,63.50430,"Error"
81.80420,63.50430,"Error"
81.80420,63.50430,"Error"
81.80420,63.50430,"Error"
81.80420,63.50430,"Error"
81.80420,63.50430,"Error"
81.80420,63.50430,"Error"
81.80420,63.50430,"Error"
81.80420,63.50430,"Error"
81.80420,63.50430,"Error"
81.80420,63.50430,"Error"
81.80420,63.50430,"Error"
81.80420,63.50430,"Error"
81.80420,63.50430,"Error"
81.80420,63.50430,"Error"
81.80420,63.50430,"Error"
81.80420,63.50430,"Error"
81.80420,63.50430,"Error"
81.80420,63.50430,"Error"
81.80420,63.50430,"Error"
81.80420,63.50430,"Error"
81.80420,63.50430,"Error"
81.80420,63.50430,"Error"
81.80420,63.50430,"Error"
81.80420,63.50430,"Error"
81.80420,63.50430,"Error"
81.80420,63.50430,"Error"
81.80420,63.50430,"Error"
81.80420,63.50430,"Error"
81.80420,63.50430,"Error"
81.80420,63.50430,"Error"
81.80420,63.50430,2.77407
82.00530,63.50430,2.77429
82.20520,63.50430,2.81577
82.40570,63.50430,2.82170
82.60550,63.50430,2.81760
82.80490,63.50430,2.81387
83.00550,63.50430,2.81016
83.20570,63.50430,2.80638
83.40580,63.50430,2.80270
83.60510,63.50430,2.79931
83.80600,63.50430,2.79586
84.00530,63.50430,2.79251
84.20560,63.50430,2.78947
84.40550,63.50430,2.78595
84.60550,63.50430,2.78299
84.80450,63.50430,2.77992
85.00520,63.50430,2.77714
85.20510,63.50430,2.78500
85.40590,63.50430,2.78888
85.60530,63.50430,2.78983
85.80570,63.50430,2.77772
86.00520,63.50430,2.77344
86.20580,63.50430,2.77132
86.40470,63.50430,2.76825
86.60500,63.50430,2.76402
86.80520,63.50430,2.76179
87.00470,63.50430,2.75872
87.20530,63.50430,2.75692
87.40520,63.50430,2.75303
87.60490,63.50430,2.75155
87.80520,63.50430,2.74887
88.00490,63.50430,2.74515
88.20520,63.50430,2.74361
88.40520,63.50430,2.74476
88.60450,63.50430,2.74392
88.80570,63.50430,2.74261
89.00400,63.50430,2.74146
89.20390,63.50430,2.74026
89.40520,63.50430,2.73924
89.40500,63.50430,2.73927
89.60530,63.50430,2.73547
89.80500,63.50430,2.73729
90.00570,63.50430,2.73656
90.20570,63.50430,2.73600
90.40590,63.50430,2.73551
90.60580,63.50430,2.73502
90.80600,63.50430,2.73466
91.00520,63.50430,2.73384
91.20610,63.50430,2.73403
91.40590,63.50430,2.73394
91.60580,63.50430,2.73386
91.80570,63.50430,2.73390
92.00480,63.50430,2.73305
92.20530,63.50430,2.73397
92.40540,63.50430,2.73439
92.60620,63.50430,2.73476
92.80560,63.50430,2.73519
93.00550,63.50430,2.73569
93.20560,63.50430,2.73636
93.40570,63.50430,2.73709
93.60570,63.50430,2.73783
93.80580,63.50430,2.73869
94.00580,63.50430,2.73964
94.20580,63.50430,2.74066
94.40570,63.50430,2.74175
94.60570,63.50430,2.74286
94.80560,63.50430,2.74403
95.00580,63.50430,2.74526
95.20440,63.50430,2.74663
95.40590,63.50430,2.74808
95.60580,63.50430,2.74952
95.80600,63.50430,2.75106
96.00580,63.50430,2.75275
96.20590,63.50430,2.75451
96.40600,63.50430,2.75610
96.60570,63.50430,2.75725
96.80510,63.50430,2.75493
97.00500,63.50430,2.75644
97.20520,63.50430,2.72969
97.20520,63.50430,"Error"
97.20520,63.50430,"Error"
97.20520,63.50430,"Error"
97.20520,63.50430,"Error"
97.20520,63.50430,"Error"
97.20520,63.50430,"Error"
97.20520,63.50430,"Error"
97.20520,63.50430,"Error"
97.20520,63.50430,"Error"
97.20520,63.50430,"Error"
97.20520,63.50430,"Error"
97.20520,63.50430,"Error"
97.20520,63.50430,"Error"
97.20520,63.50430,"Error"
97.20520,63.50430,"Error"
97.20520,63.50430,"Error"
97.20520,63.50430,"Error"
97.20520,63.50430,"Error"
97.20520,63.50430,"Error"
97.20520,63.50430,"Error"
97.20520,63.50430,"Error"
97.20520,63.50430,"Error"
97.20520,63.50430,"Error"
97.20520,63.50430,"Error"
97.20520,63.50430,"Error"
97.20520,63.50430,"Error"
97.20520,63.50430,"Error"
97.20520,63.50430,"Error"
97.20520,63.50430,"Error"
97.20520,63.50430,"Error"
81.00540,63.70430,"Error"
81.00540,63.70430,"Error"
81.00540,63.70430,"Error"
81.00540,63.70430,"Error"
81.00540,63.70430,"Error"
81.00540,63.70430,"Error"
81.00540,63.70430,"Error"
81.00540,63.70430,"Error"
81.00540,63.70430,"Error"
81.00540,63.70430,"Error"
81.00540,63.70430,"Error"
81.00540,63.70430,"Error"
81.00540,63.70430,"Error"
81.00540,63.70430,"Error"
81.00540,63.70430,"Error"
81.00540,63.70430,"Error"
81.00540,63.70430,"Error"
81.00540,63.70430,"Error"
81.00540,63.70430,"Error"
81.00540,63.70430,"Error"
81.00540,63.70430,"Error"
81.00540,63.70430,"Error"
81.00540,63.70430,"Error"
81.00540,63.70430,"Error"
81.00540,63.70430,"Error"
81.00540,63.70430,"Error"
81.00540,63.70430,"Error"
81.00540,63.70430,2.88022
81.20540,63.70430,2.85100
81.40440,63.70430,2.85720
81.60590,63.70430,2.85508
81.80570,63.70430,2.85114
82.00590,63.70430,2.84662
82.20580,63.70430,2.84209
82.40580,63.70430,2.83742
82.60570,63.70430,2.83280
82.80580,63.70430,2.82818
83.00560,63.70430,2.82377
83.20580,63.70430,2.81954
83.40580,63.70430,2.81536
83.60580,63.70430,2.81115
83.80580,63.70430,2.80705
84.00590,63.70430,2.80309
84.20580,63.70430,2.79911
84.40570,63.70430,2.79527
84.60580,63.70430,2.79143
84.80580,63.70430,2.78773
85.00570,63.70430,2.78409
85.20570,63.70430,2.78052
85.40580,63.70430,2.77697
85.60580,63.70430,2.77360
85.80590,63.70430,2.77033
86.00570,63.70430,2.76718
86.20580,63.70430,2.76407
86.40570,63.70430,2.76107
86.60520,63.70430,2.75818
86.80430,63.70430,2.75540
87.00510,63.70430,2.75269
87.20570,63.70430,2.75018
87.40530,63.70430,2.74773
87.60490,63.70430,2.74533
87.80570,63.70430,2.74315
88.00580,63.70430,2.74107
88.20510,63.70430,2.73918
88.40440,63.70430,2.73726
88.60430,63.70430,2.73564
88.80470,63.70430,2.73409
89.00410,63.70430,2.73260
89.20420,63.70430,2.73140
89.40520,63.70430,2.73027
89.40500,63.70430,2.73024
89.60620,63.70430,2.72921
89.80590,63.70430,2.72821
90.00590,63.70430,2.72739
90.20580,63.70430,2.72667
90.40600,63.70430,2.72612
90.60580,63.70430,2.72564
90.80580,63.70430,2.72538
91.00580,63.70430,2.72516
91.20590,63.70430,2.72502
91.40590,63.70430,2.72512
91.60580,63.70430,2.72532
91.80580,63.70430,2.72560
92.00580,63.70430,2.72596
92.20570,63.70430,2.72651
92.40570,63.70430,2.72711
92.60610,63.70430,2.72783
92.80570,63.70430,2.72864
93.00570,63.70430,2.72976
93.20580,63.70430,2.73080
93.40600,63.70430,2.73199
93.60560,63.70430,2.73330
93.80570,63.70430,2.73467
94.00570,63.70430,2.73624
94.20570,63.70430,2.73787
94.40590,63.70430,2.73954
94.60580,63.70430,2.74130
94.80610,63.70430,2.74313
95.00580,63.70430,2.74496
95.20610,63.70430,2.74698
95.40590,63.70430,2.74908
95.60590,63.70430,2.75123
95.80620,63.70430,2.75348
96.00590,63.70430,2.75581
96.20580,63.70430,2.75817
96.40590,63.70430,2.76052
96.60590,63.70430,2.76284
96.80580,63.70430,2.76508
97.00610,63.70430,2.76736
97.20590,63.70430,2.76958
97.40580,63.70430,2.77178
97.60630,63.70430,2.77378
97.80520,63.70430,2.77043
97.80520,63.70430,"Error"
97.80520,63.70430,"Error"
97.80520,63.70430,"Error"
97.80520,63.70430,"Error"
97.80520,63.70430,"Error"
97.80520,63.70430,"Error"
97.80520,63.70430,"Error"
97.80520,63.70430,"Error"
97.80520,63.70430,"Error"
97.80520,63.70430,"Error"
97.80520,63.70430,"Error"
97.80520,63.70430,"Error"
97.80520,63.70430,"Error"
97.80520,63.70430,"Error"
97.80520,63.70430,"Error"
97.80520,63.70430,"Error"
97.80520,63.70430,"Error"
97.80520,63.70430,"Error"
97.80520,63.70430,"Error"
97.80520,63.70430,"Error"
97.80520,63.70430,"Error"
97.80520,63.70430,"Error"
97.80520,63.70430,"Error"
97.80520,63.70430,"Error"
97.80520,63.70430,"Error"
97.80520,63.70430,"Error"
97.80520,63.70430,"Error"
80.60530,63.90430,"Error"
80.60530,63.90430,"Error"
80.60530,63.90430,"Error"
80.60530,63.90430,"Error"
80.60530,63.90430,"Error"
80.60530,63.90430,"Error"
80.60530,63.90430,"Error"
80.60530,63.90430,"Error"
80.60530,63.90430,"Error"
80.60530,63.90430,"Error"
80.60530,63.90430,"Error"
80.60530,63.90430,"Error"
80.60530,63.90430,"Error"
80.60530,63.90430,"Error"
80.60530,63.90430,"Error"
80.60530,63.90430,"Error"
80.60530,63.90430,"Error"
